order_id,order_date_id,customer_id,product_id,location_id,quantity,cost_price,selling_price,discount_amount,shipping_cost,revenue,net_profit,order_status,payment_method,date,day,month,month_name,quarter,year,week_day,customer_name,gender,age_group,product_name,category,sub_category,brand,country,state,city,region
ORD-0000027,20210706,CUST-00007,PROD-0002,LOC-0038,1,733.88,849.94,49.04,7.49,800.9,59.53,Cancelled,Cash on Delivery,2021-07-06,6,7,July,Q3,2021,Tuesday,Jerry Nakamura,Male,18-24,iPhone 13,Electronics,Smartphones,Apple,Germany,Bavaria,Munich,South
ORD-0000028,20210706,CUST-00200,PROD-0081,LOC-0044,1,20.15,32.76,3.45,7.27,29.31,1.89,Delivered,Credit Card,2021-07-06,6,7,July,Q3,2021,Tuesday,Nicholas Martin,Male,35-44,Ruby Woo Lipstick,Beauty,Makeup,MAC,France,Ile-de-France,Paris,North
ORD-0000029,20210706,CUST-00100,PROD-0056,LOC-0021,1,122.37,177.29,0.0,50.56,177.29,4.36,Cancelled,Credit Card,2021-07-06,6,7,July,Q3,2021,Tuesday,Stephen Iyer,Male,35-44,AF101 Air Fryer 4Qt,Home & Kitchen,Appliances,Ninja,UK,England,Leeds,North
ORD-0000030,20210706,CUST-00292,PROD-0100,LOC-0035,1,26.12,44.46,0.0,13.55,44.46,4.79,Delivered,Credit Card,2021-07-06,6,7,July,Q3,2021,Tuesday,Jessica Hughes,Female,55+,Elite 2.0 Commander Blaster,Toys & Games,Outdoor Play,Nerf,India,Tamil Nadu,Chennai,South
ORD-0000031,20210706,CUST-00255,PROD-0081,LOC-0036,2,21.46,40.61,0.0,6.12,81.22,32.18,Delivered,UPI,2021-07-06,6,7,July,Q3,2021,Tuesday,Ryota Young,Male,25-34,Ruby Woo Lipstick,Beauty,Makeup,MAC,India,West Bengal,Kolkata,East
ORD-0000032,20210706,CUST-00402,PROD-0037,LOC-0032,1,76.34,122.3,0.0,14.73,122.3,31.23,Delivered,UPI,2021-07-06,6,7,July,Q3,2021,Tuesday,Robert Ramirez,Male,18-24,Linen Blend Blazer,Clothing,Women's Wear,H&M,India,Delhi,New Delhi,North
ORD-0000033,20210707,CUST-00202,PROD-0016,LOC-0049,1,101.96,115.17,0.79,10.27,114.38,2.15,Shipped,Debit Card,2021-07-07,7,7,July,Q3,2021,Wednesday,Victoria Moreau,Female,25-34,Fire HD 10,Electronics,Tablets,Amazon,France,Hauts-de-France,Lille,North
ORD-0000034,20210707,CUST-00060,PROD-0019,LOC-0049,1,233.46,264.17,0.0,9.71,264.17,21.0,Pending,Debit Card,2021-07-07,7,7,July,Q3,2021,Wednesday,Edward Clark,Male,25-34,AirPods Pro 2nd Gen,Electronics,Audio,Apple,France,Hauts-de-France,Lille,North
ORD-0000035,20210707,CUST-00099,PROD-0033,LOC-0012,1,81.52,132.96,0.0,8.62,132.96,42.82,Shipped,Credit Card,2021-07-07,7,7,July,Q3,2021,Wednesday,Edward Hughes,Male,18-24,Slim Chino Pants,Clothing,Men's Wear,Tommy Hilfiger,Canada,British Columbia,Vancouver,West
ORD-0000036,20210707,CUST-00138,PROD-0085,LOC-0007,1,13.65,18.55,1.53,7.96,17.02,-4.59,Shipped,Credit Card,2021-07-07,7,7,July,Q3,2021,Wednesday,Hassan Adams,Male,35-44,The Midnight Library,Books,Fiction,Random House,USA,Illinois,Chicago,Midwest
ORD-0000037,20210707,CUST-00255,PROD-0089,LOC-0030,2,10.31,12.57,0.11,8.93,25.03,-4.52,Cancelled,Cash on Delivery,2021-07-07,7,7,July,Q3,2021,Wednesday,Ryota Young,Male,25-34,Vertuo Barista Capsules x10,Grocery,Coffee & Tea,Nespresso,India,Maharashtra,Mumbai,West
ORD-0000038,20210707,CUST-00094,PROD-0102,LOC-0019,1,26.22,38.95,0.0,5.5,38.95,7.23,Delivered,Credit Card,2021-07-07,7,7,July,Q3,2021,Wednesday,Hassan Weber,Male,25-34,A5 Dotted Bullet Journal,Office,Stationery,Leuchtturm,UK,England,Manchester,North
ORD-0000039,20210708,CUST-00002,PROD-0027,LOC-0038,2,39.0,49.78,0.0,6.1,99.56,15.46,Shipped,Credit Card,2021-07-08,8,7,July,Q3,2021,Thursday,Jean Sanchez,Female,55+,MagSafe Charger,Electronics,Accessories,Apple,Germany,Bavaria,Munich,South
ORD-0000040,20210708,CUST-00324,PROD-0085,LOC-0040,4,15.78,21.74,0.0,23.79,86.96,0.05,Delivered,Credit Card,2021-07-08,8,7,July,Q3,2021,Thursday,Kathleen Jones,Female,45-54,The Midnight Library,Books,Fiction,Random House,Germany,Hamburg,Hamburg,North
ORD-0000041,20210708,CUST-00305,PROD-0101,LOC-0035,3,22.88,30.83,0.0,12.48,92.49,11.37,Pending,Credit Card,2021-07-08,8,7,July,Q3,2021,Thursday,Patrick Patel,Male,45-54,Classic Notebook Large,Office,Stationery,Moleskine,India,Tamil Nadu,Chennai,South
ORD-0000042,20210708,CUST-00136,PROD-0010,LOC-0014,2,1352.74,1530.29,111.14,23.76,2949.44,220.2,Cancelled,Credit Card,2021-07-08,8,7,July,Q3,2021,Thursday,Thomas Sato,Male,45-54,Spectre x360,Electronics,Laptops,HP,Canada,Alberta,Calgary,West
ORD-0000043,20210708,CUST-00308,PROD-0052,LOC-0008,1,74.25,96.75,0.0,9.8,96.75,12.7,Delivered,Debit Card,2021-07-08,8,7,July,Q3,2021,Thursday,Sarah Torres,Female,55+,Ingenio Non-Stick Set,Home & Kitchen,Cookware,Tefal,USA,Washington,Seattle,West
ORD-0000044,20210708,CUST-00354,PROD-0098,LOC-0001,2,174.01,260.87,0.0,13.82,521.74,159.9,Returned,Credit Card,2021-07-08,8,7,July,Q3,2021,Thursday,Elijah Davis,Male,25-34,Icons Botanical Garden,Toys & Games,Building Sets,LEGO,USA,California,Los Angeles,West
ORD-0000045,20210709,CUST-00138,PROD-0078,LOC-0037,1,403.38,771.77,0.0,10.68,771.77,357.71,Returned,UPI,2021-07-09,9,7,July,Q3,2021,Friday,Hassan Adams,Male,35-44,Supersonic Hair Dryer,Beauty,Haircare,Dyson,India,Gujarat,Ahmedabad,West
ORD-0000046,20210709,CUST-00385,PROD-0087,LOC-0027,4,16.82,21.77,15.53,23.67,71.55,-19.4,Delivered,Debit Card,2021-07-09,9,7,July,Q3,2021,Friday,Harper Watanabe,Female,35-44,The Psychology of Money,Books,Non-Fiction,Crown,Australia,Western Australia,Perth,West
ORD-0000047,20210709,CUST-00292,PROD-0048,LOC-0015,2,59.45,112.7,20.44,12.52,204.96,73.54,Shipped,Cash on Delivery,2021-07-09,9,7,July,Q3,2021,Friday,Jessica Hughes,Female,55+,Tiro 23 Track Pants,Clothing,Sportswear,Adidas,Canada,Ontario,Ottawa,East
ORD-0000048,20210709,CUST-00305,PROD-0054,LOC-0035,1,359.8,488.49,2.55,32.5,485.94,93.64,Delivered,UPI,2021-07-09,9,7,July,Q3,2021,Friday,Patrick Patel,Male,45-54,Dutch Oven 5.5 Qt,Home & Kitchen,Cookware,Le Creuset,India,Tamil Nadu,Chennai,South
ORD-0000049,20210709,CUST-00131,PROD-0078,LOC-0015,1,423.24,732.28,0.0,8.07,732.28,300.97,Delivered,Cash on Delivery,2021-07-09,9,7,July,Q3,2021,Friday,Yusuf Dubois,Male,35-44,Supersonic Hair Dryer,Beauty,Haircare,Dyson,Canada,Ontario,Ottawa,East
ORD-0000050,20210709,CUST-00238,PROD-0089,LOC-0037,5,11.12,13.28,0.0,14.29,66.4,-3.49,Delivered,Debit Card,2021-07-09,9,7,July,Q3,2021,Friday,Barbara Jones,Female,25-34,Vertuo Barista Capsules x10,Grocery,Coffee & Tea,Nespresso,India,Gujarat,Ahmedabad,West
ORD-0000051,20210710,CUST-00328,PROD-0061,LOC-0030,1,107.18,156.73,0.0,21.94,156.73,27.61,Delivered,Credit Card,2021-07-10,10,7,July,Q3,2021,Saturday,Sandra Hughes,Female,25-34,Luxe Core Sheet Set,Home & Kitchen,Bedding,Brooklinen,India,Maharashtra,Mumbai,West
ORD-0000052,20210710,CUST-00318,PROD-0072,LOC-0010,2,15.16,26.98,2.18,8.8,51.78,12.66,Delivered,Cash on Delivery,2021-07-10,10,7,July,Q3,2021,Saturday,Isabella Walker,Female,25-34,Moisturizing Lotion 250ml,Beauty,Skincare,Cetaphil,USA,Colorado,Denver,West
ORD-0000053,20210710,CUST-00405,PROD-0019,LOC-0030,1,215.9,257.14,0.0,8.76,257.14,32.48,Delivered,Debit Card,2021-07-10,10,7,July,Q3,2021,Saturday,Cheryl Simon,Female,55+,AirPods Pro 2nd Gen,Electronics,Audio,Apple,India,Maharashtra,Mumbai,West
ORD-0000054,20210710,CUST-00045,PROD-0103,LOC-0054,3,72.02,100.59,0.0,10.54,301.77,75.17,Cancelled,Cash on Delivery,2021-07-10,10,7,July,Q3,2021,Saturday,Helen Martin,Female,35-44,C920 HD Webcam,Office,Electronics,Logitech,Japan,Hokkaido,Sapporo,North
ORD-0000055,20210711,CUST-00328,PROD-0030,LOC-0014,2,73.76,112.27,0.0,22.37,224.54,54.65,Cancelled,Credit Card,2021-07-11,11,7,July,Q3,2021,Sunday,Sandra Hughes,Female,25-34,511 Slim Fit Jeans,Clothing,Men's Wear,Levi's,Canada,Alberta,Calgary,West
ORD-0000056,20210711,CUST-00255,PROD-0094,LOC-0023,2,13.21,15.68,0.0,14.42,31.36,-9.48,Delivered,Credit Card,2021-07-11,11,7,July,Q3,2021,Sunday,Ryota Young,Male,25-34,Vitamin D3 Gummies x90,Grocery,Health,Nature Made,UK,Northern Ireland,Belfast,North
ORD-0000057,20210711,CUST-00303,PROD-0039,LOC-0026,1,74.5,119.6,0.0,11.35,119.6,33.75,Delivered,Credit Card,2021-07-11,11,7,July,Q3,2021,Sunday,Timothy Sanchez,Male,55+,Classic Denim Jacket,Clothing,Women's Wear,Gap,Australia,Queensland,Brisbane,North
ORD-0000058,20210711,CUST-00075,PROD-0068,LOC-0006,1,127.62,187.16,14.51,4.53,172.65,40.5,Delivered,Credit Card,2021-07-11,11,7,July,Q3,2021,Sunday,Hassan Singh,Male,55+,Newton Ridge Plus Hiking Boot,Sports,Outdoor,Columbia,USA,Florida,Miami,Southeast
ORD-0000059,20210712,CUST-00214,PROD-0021,LOC-0050,1,435.95,495.82,0.0,13.35,495.82,46.52,Delivered,Cash on Delivery,2021-07-12,12,7,July,Q3,2021,Monday,Ryan Lewis,Male,35-44,Era 300 Speaker,Electronics,Audio,Sonos,Japan,Tokyo,Tokyo,East
ORD-0000060,20210712,CUST-00094,PROD-0012,LOC-0017,1,1478.96,1773.1,0.0,13.41,1773.1,280.73,Delivered,Credit Card,2021-07-12,12,7,July,Q3,2021,Monday,Hassan Weber,Male,25-34,ROG Zephyrus G14,Electronics,Laptops,ASUS,UK,England,London,South
ORD-0000061,20210712,CUST-00157,PROD-0094,LOC-0049,1,16.23,19.67,0.0,4.08,19.67,-0.64,Delivered,Cash on Delivery,2021-07-12,12,7,July,Q3,2021,Monday,Elijah Miller,Male,25-34,Vitamin D3 Gummies x90,Grocery,Health,Nature Made,France,Hauts-de-France,Lille,North
ORD-0000062,20210712,CUST-00096,PROD-0002,LOC-0044,1,721.76,829.83,0.0,4.73,829.83,103.34,Delivered,Debit Card,2021-07-12,12,7,July,Q3,2021,Monday,Susan Allen,Female,25-34,iPhone 13,Electronics,Smartphones,Apple,France,Ile-de-France,Paris,North
ORD-0000063,20210712,CUST-00059,PROD-0069,LOC-0028,2,165.66,256.26,0.0,23.49,512.52,157.71,Returned,UPI,2021-07-12,12,7,July,Q3,2021,Monday,Amelia Sharma,Female,35-44,Resolve Jacket,Sports,Outdoor,The North Face,Australia,South Australia,Adelaide,South
ORD-0000064,20210712,CUST-00065,PROD-0058,LOC-0055,2,303.87,426.02,0.0,77.89,852.04,166.41,Shipped,Cash on Delivery,2021-07-12,12,7,July,Q3,2021,Monday,Linda Ramirez,Female,35-44,Stand Mixer 5Qt,Home & Kitchen,Appliances,KitchenAid,Japan,Fukuoka,Fukuoka,South
ORD-0000065,20210713,CUST-00418,PROD-0028,LOC-0021,1,82.77,101.74,5.6,5.69,96.14,7.68,Shipped,Credit Card,2021-07-13,13,7,July,Q3,2021,Tuesday,Brandon Hernandez,Male,35-44,MX Master 3 Mouse,Electronics,Accessories,Logitech,UK,England,Leeds,North
ORD-0000066,20210713,CUST-00189,PROD-0076,LOC-0012,1,67.39,117.88,0.0,6.52,117.88,43.97,Cancelled,UPI,2021-07-13,13,7,July,Q3,2021,Tuesday,Scott Campbell,Male,25-34,Protini Polypeptide Cream,Beauty,Skincare,Drunk Elephant,Canada,British Columbia,Vancouver,West
ORD-0000067,20210713,CUST-00061,PROD-0083,LOC-0018,1,47.83,89.72,0.0,6.97,89.72,34.92,Cancelled,Cash on Delivery,2021-07-13,13,7,July,Q3,2021,Tuesday,Aiden Sanchez,Male,45-54,Flawless Foundation,Beauty,Makeup,Charlotte Tilbury,UK,Scotland,Edinburgh,North
ORD-0000068,20210713,CUST-00202,PROD-0045,LOC-0011,2,63.82,112.24,0.0,19.85,224.48,76.99,Shipped,Debit Card,2021-07-13,13,7,July,Q3,2021,Tuesday,Victoria Moreau,Female,25-34,Old Skool Sneakers,Clothing,Footwear,Vans,Canada,Ontario,Toronto,East
ORD-0000069,20210713,CUST-00181,PROD-0105,LOC-0035,1,452.25,598.36,53.69,74.21,544.67,18.21,Returned,Cash on Delivery,2021-07-13,13,7,July,Q3,2021,Tuesday,Rebecca Garcia,Female,25-34,ErgoChair Pro,Office,Furniture,Autonomous,India,Tamil Nadu,Chennai,South
ORD-0000070,20210713,CUST-00412,PROD-0075,LOC-0004,1,17.62,27.55,0.0,5.64,27.55,4.29,Returned,Cash on Delivery,2021-07-13,13,7,July,Q3,2021,Tuesday,Melissa Davis,Female,35-44,Hydrating Cleanser 473ml,Beauty,Skincare,CeraVe,USA,Texas,Dallas,South
ORD-0000071,20210714,CUST-00400,PROD-0045,LOC-0005,1,79.43,137.18,6.96,8.84,130.22,41.95,Shipped,Credit Card,2021-07-14,14,7,July,Q3,2021,Wednesday,Daniel Becker,Male,35-44,Old Skool Sneakers,Clothing,Footwear,Vans,USA,New York,New York City,Northeast
ORD-0000072,20210714,CUST-00287,PROD-0071,LOC-0007,1,116.0,172.49,6.09,8.77,166.4,41.63,Pending,Credit Card,2021-07-14,14,7,July,Q3,2021,Wednesday,Kenji Johnson,Male,45-54,Bontrager XXX Road Helmet,Sports,Cycling,Trek,USA,Illinois,Chicago,Midwest
ORD-0000073,20210714,CUST-00066,PROD-0005,LOC-0019,1,840.97,972.78,0.0,8.59,972.78,123.22,Cancelled,Cash on Delivery,2021-07-14,14,7,July,Q3,2021,Wednesday,Hiroshi Mueller,Male,45-54,Pixel 7 Pro,Electronics,Smartphones,Google,UK,England,Manchester,North
ORD-0000074,20210714,CUST-00135,PROD-0103,LOC-0041,1,88.82,130.11,5.43,8.28,124.68,27.58,Delivered,UPI,2021-07-14,14,7,July,Q3,2021,Wednesday,Aisha Campbell,Female,55+,C920 HD Webcam,Office,Electronics,Logitech,Germany,North Rhine-Westphalia,Cologne,West
ORD-0000075,20210714,CUST-00178,PROD-0068,LOC-0034,2,105.94,148.08,0.0,16.64,296.16,67.64,Shipped,UPI,2021-07-14,14,7,July,Q3,2021,Wednesday,Joan Davis,Female,18-24,Newton Ridge Plus Hiking Boot,Sports,Outdoor,Columbia,India,Telangana,Hyderabad,South
ORD-0000076,20210714,CUST-00319,PROD-0042,LOC-0033,1,154.57,264.34,53.63,9.07,210.71,47.07,Delivered,Debit Card,2021-07-14,14,7,July,Q3,2021,Wednesday,Olivia Schulz,Female,35-44,Ultraboost 22,Clothing,Footwear,Adidas,India,Maharashtra,Pune,West
ORD-0000077,20210715,CUST-00262,PROD-0089,LOC-0008,4,12.15,13.54,2.89,5.16,51.27,-2.49,Delivered,Credit Card,2021-07-15,15,7,July,Q3,2021,Thursday,Jessica Scott,Female,25-34,Vertuo Barista Capsules x10,Grocery,Coffee & Tea,Nespresso,USA,Washington,Seattle,West
ORD-0000078,20210715,CUST-00175,PROD-0007,LOC-0025,1,1862.65,2214.98,0.0,13.58,2214.98,338.75,Delivered,Credit Card,2021-07-15,15,7,July,Q3,2021,Thursday,Nana Davies,Female,45-54,MacBook Pro 14-inch,Electronics,Laptops,Apple,Australia,Victoria,Melbourne,South
ORD-0000079,20210715,CUST-00201,PROD-0049,LOC-0039,1,25.54,45.56,0.0,6.95,45.56,13.07,Delivered,UPI,2021-07-15,15,7,July,Q3,2021,Thursday,Brian Scott,Male,25-34,UA Tech 2.0 T-Shirt,Clothing,Sportswear,Under Armour,Germany,Berlin,Berlin,North
ORD-0000080,20210715,CUST-00126,PROD-0012,LOC-0011,2,1450.16,1751.94,158.85,47.73,3345.03,396.98,Cancelled,Debit Card,2021-07-15,15,7,July,Q3,2021,Thursday,Gary Taylor,Male,45-54,ROG Zephyrus G14,Electronics,Laptops,ASUS,Canada,Ontario,Toronto,East
ORD-0000081,20210715,CUST-00183,PROD-0037,LOC-0013,2,58.32,106.05,36.88,15.72,175.22,42.86,Delivered,Cash on Delivery,2021-07-15,15,7,July,Q3,2021,Thursday,Laura Wilson,Female,25-34,Linen Blend Blazer,Clothing,Women's Wear,H&M,Canada,Quebec,Montreal,East
ORD-0000082,20210715,CUST-00316,PROD-0031,LOC-0051,2,38.02,57.46,0.0,10.99,114.92,27.89,Delivered,Credit Card,2021-07-15,15,7,July,Q3,2021,Thursday,Donald Patel,Male,35-44,Dri-FIT Training T-Shirt,Clothing,Men's Wear,Nike,Japan,Osaka,Osaka,West
ORD-0000083,20210716,CUST-00292,PROD-0037,LOC-0045,1,56.41,102.55,13.71,11.31,88.84,21.12,Delivered,Cash on Delivery,2021-07-16,16,7,July,Q3,2021,Friday,Jessica Hughes,Female,55+,Linen Blend Blazer,Clothing,Women's Wear,H&M,France,Auvergne-Rhone-Alpes,Lyon,Southeast
ORD-0000084,20210716,CUST-00405,PROD-0010,LOC-0027,2,1369.58,1556.77,0.0,24.56,3113.54,349.82,Cancelled,Cash on Delivery,2021-07-16,16,7,July,Q3,2021,Friday,Cheryl Simon,Female,55+,Spectre x360,Electronics,Laptops,HP,Australia,Western Australia,Perth,West
ORD-0000085,20210716,CUST-00397,PROD-0102,LOC-0013,1,25.54,37.01,0.0,7.98,37.01,3.49,Delivered,Credit Card,2021-07-16,16,7,July,Q3,2021,Friday,Jean Martin,Female,25-34,A5 Dotted Bullet Journal,Office,Stationery,Leuchtturm,Canada,Quebec,Montreal,East
ORD-0000086,20210716,CUST-00323,PROD-0041,LOC-0031,1,124.84,215.84,24.46,10.27,191.38,56.27,Delivered,UPI,2021-07-16,16,7,July,Q3,2021,Friday,Hiroshi Singh,Male,25-34,Air Max 270,Clothing,Footwear,Nike,India,Karnataka,Bangalore,South
ORD-0000087,20210716,CUST-00059,PROD-0076,LOC-0039,1,66.82,105.47,0.0,7.81,105.47,30.84,Shipped,Credit Card,2021-07-16,16,7,July,Q3,2021,Friday,Amelia Sharma,Female,35-44,Protini Polypeptide Cream,Beauty,Skincare,Drunk Elephant,Germany,Berlin,Berlin,North
ORD-0000088,20210716,CUST-00136,PROD-0004,LOC-0027,1,400.88,455.08,0.0,8.16,455.08,46.04,Pending,Debit Card,2021-07-16,16,7,July,Q3,2021,Friday,Thomas Sato,Male,45-54,Galaxy A54,Electronics,Smartphones,Samsung,Australia,Western Australia,Perth,West
